,eixo,tipo_pergunta,pair_id,pergunta
14,Economia,P+,7,"O controle rigoroso da dívida pública e a responsabilidade fiscal são primordiais para a credibilidade do país, evitando crises e garantindo a confiança dos investidores."
15,Economia,P-,7,"A dívida pública deve ser gerida com foco no investimento social e produtivo, e sua renegociação pode ser uma ferramenta para liberar recursos para o desenvolvimento."
16,Segurança Pública,P+,8,"O direito à legítima defesa deve ser garantido, permitindo que cidadãos de bem possam ter armas para se proteger da crescente criminalidade."
17,Segurança Pública,P-,8,"O controle rigoroso de armas de fogo é fundamental para reduzir a violência e proteger a vida, evitando que armas cheguem às mãos de criminosos."
18,Segurança Pública,P+,9,"A redução da maioridade penal é uma medida necessária para responsabilizar jovens infratores por crimes graves, coibindo a impunidade e protegendo a sociedade."
19,Segurança Pública,P-,9,"A redução da maioridade penal não resolve o problema da criminalidade e pode expor jovens a um sistema prisional falido, sendo mais eficaz investir em educação e oportunidades."
20,Segurança Pública,P+,10,"Embora as milícias sejam um problema, muitas vezes elas surgem da falha do Estado em prover segurança, e a prioridade deve ser o combate ao crime organizado tradicional."
21,Segurança Pública,P-,10,"As milícias representam uma grave ameaça ao Estado de Direito e devem ser combatidas com toda a força do Estado, desmantelando suas redes criminosas e políticas."
22,Meio Ambiente,P+,11,O agronegócio é o motor da economia brasileira e deve ter menos entraves burocráticos e regulatórios para expandir a produção e a exportação.
23,Meio Ambiente,P-,11,"O agronegócio deve ser mais regulado para garantir a sustentabilidade ambiental e social, combatendo o uso excessivo de agrotóxicos e a grilagem de terras."
24,Meio Ambiente,P+,12,"A matriz energética deve ser diversificada, incluindo fontes tradicionais como hidrelétricas e até nucleares, para garantir a segurança energética e a competitividade industrial."
25,Meio Ambiente,P-,12,"O investimento massivo em energias renováveis é crucial para a transição energética, a redução da pegada de carbono e a geração de empregos verdes."
26,Meio Ambiente,P+,13,"A mineração é uma atividade econômica fundamental para o país, e as regulamentações devem equilibrar a proteção ambiental com a viabilidade dos projetos e a geração de empregos."
27,Meio Ambiente,P-,13,"A mineração deve ser estritamente controlada e fiscalizada, com prioridade para a segurança ambiental e das comunidades, evitando desastres e exploração predatória."
28,Meio Ambiente,P+,14,"A fiscalização ambiental não deve ser punitiva em excesso, mas sim orientadora, buscando a conciliação e o diálogo com produtores e empreendedores."
29,Meio Ambiente,P-,14,"A fiscalização ambiental deve ser fortalecida com mais recursos e autonomia para os órgãos de controle, combatendo crimes ambientais e garantindo a aplicação da lei."
30,Instituições Democráticas,P+,15,"O STF tem extrapolado suas competências, invadindo a esfera dos outros poderes e legislando, o que exige limites claros para sua atuação e maior controle."
31,Instituições Democráticas,P-,15,"O STF é o guardião da Constituição e deve atuar para proteger os direitos fundamentais e a democracia, mesmo que suas decisões contrariem maiorias momentâneas."
32,Instituições Democráticas,P+,16,"O sistema eleitoral precisa de maior transparência e auditabilidade, com a implementação do voto impresso para garantir a confiança popular nos resultados."
33,Instituições Democráticas,P-,16,"O sistema eleitoral brasileiro, com urnas eletrônicas e fiscalização, é seguro e confiável, garantindo a lisura do processo democrático."
34,Instituições Democráticas,P+,17,"As Forças Armadas são instituições de Estado que devem zelar pela ordem e pela estabilidade nacional, podendo atuar em momentos de crise para garantir a democracia."
35,Instituições Democráticas,P-,17,"As Forças Armadas devem se manter estritamente dentro de suas funções constitucionais de defesa da pátria e da soberania, sem interferência na política civil."
36,Instituições Democráticas,P+,18,"A liberdade de expressão é um pilar da democracia e deve ser irrestrita, permitindo o debate de todas as ideias, sem censura ou perseguição por opiniões."
37,Instituições Democráticas,P-,18,"A liberdade de expressão é um direito fundamental, mas deve ser limitada quando incita o ódio, a violência ou a desinformação, protegendo a democracia e os direitos de minorias."
38,Corrupção e Justiça,P+,19,"O combate à corrupção exige rigor e punição exemplar para os corruptos, independentemente de suas posições, para restaurar a moralidade pública."
39,Corrupção e Justiça,P-,19,"O combate à corrupção deve ser sistêmico, com foco na transparência, controle social e fortalecimento das instituições, sem seletividade política."
40,Corrupção e Justiça,P+,20,"O Ministério Público precisa de maior controle e limites em sua atuação, evitando excessos e a politização de suas investigações."
41,Corrupção e Justiça,P-,20,"O Ministério Público deve atuar como fiscal da lei e defensor dos direitos sociais, com autonomia para investigar e denunciar crimes, inclusive de poderosos."
42,Corrupção e Justiça,P+,21,O foro privilegiado é uma garantia institucional para proteger autoridades de perseguições políticas e garantir a estabilidade dos cargos.
43,Corrupção e Justiça,P-,21,O foro privilegiado é um privilégio que favorece a impunidade e deve ser drasticamente reduzido ou abolido para garantir a igualdade de todos perante a lei.
44,Educação e Cultura,P+,22,"A escola deve focar no ensino de conteúdos e valores morais, evitando a doutrinação ideológica e o partidarismo político."
45,Educação e Cultura,P-,22,"A escola deve ser um espaço plural de debate e formação crítica, abordando diferentes perspectivas e promovendo a cidadania."
46,Educação e Cultura,P+,23,"As universidades públicas precisam de maior autonomia financeira e de gestão, buscando parcerias com a iniciativa privada e cobrando mensalidades de quem pode pagar."
47,Educação e Cultura,P-,23,"As universidades públicas são patrimônios nacionais que devem ser valorizadas e financiadas para garantir pesquisa de ponta, ensino de qualidade e acesso gratuito."
48,Educação e Cultura,P+,24,A Lei Rouanet precisa de maior transparência e critérios mais rigorosos para evitar abusos e direcionar os recursos para projetos de real interesse público.
49,Educação e Cultura,P-,24,"A Lei Rouanet é um importante mecanismo de fomento à cultura e à arte, democratizando o acesso e valorizando os artistas brasileiros."
50,Políticas Sociais,P+,25,A reforma da previdência é essencial para equilibrar as contas públicas e evitar colapso.
51,Políticas Sociais,P-,25,A reforma da previdência deve preservar direitos dos trabalhadores mais vulneráveis.
52,Economia,P+,26,Controle de inflação exige juros altos para estabilizar a economia a longo prazo.
53,Economia,P-,26,Controle de inflação deve priorizar proteção aos mais pobres contra alta de preços.
54,Segurança Pública,P+,27,Combate às drogas exige repressão forte para desmantelar o tráfico.
55,Segurança Pública,P-,27,Guerra às drogas falha e deve ceder espaço à descriminalização para saúde pública.
56,Segurança Pública,P+,28,Polícia militarizada restaura ordem em áreas dominadas por facções.
57,Segurança Pública,P-,28,Militarização da polícia aumenta letalidade desnecessária em favelas.
58,Meio Ambiente,P+,29,Licenciamento ambiental simplificado agiliza desenvolvimento sustentável.
59,Meio Ambiente,P-,29,Licenciamento ambiental rigoroso protege ecossistemas de projetos predatórios.
60,Meio Ambiente,P+,30,Acordo de Paris impõe custos desnecessários à economia brasileira.
61,Meio Ambiente,P-,30,Acordo de Paris deve guiar compromissos nacionais ambiciosos de corte de carbono.
62,Instituições Democráticas,P+,31,Voto facultativo respeita liberdade individual sem coação.
63,Instituições Democráticas,P-,31,Voto obrigatório garante participação ampla da população nas eleições.
64,Corrupção e Justiça,P+,32,Investigações anticorrupção como Lava Jato devem prosseguir sem entraves.
65,Corrupção e Justiça,P-,32,Operações como Lava Jato precisam de freios para respeitar devido processo.
66,Educação e Cultura,P+,33,Escolas devem focar em conteúdos básicos sem doutrinação de gênero.
67,Educação e Cultura,P-,33,Currículo escolar deve incluir debates sobre diversidade de gênero.
68,Educação e Cultura,P+,34,História nas escolas deve celebrar conquistas nacionais e heróis.
69,Educação e Cultura,P-,34,Ensino de história deve enfatizar lutas sociais e desigualdades.
70,Políticas Sociais,P+,35,A saúde deve ampliar parcerias com o setor privado e modelos de gestão por desempenho para reduzir filas e custos.
71,Políticas Sociais,P-,35,O SUS precisa de mais financiamento público e gestão integrada para garantir atendimento universal e de qualidade.
72,Políticas Sociais,P+,36,A regulação de aplicativos deve ser mínima para preservar flexibilidade e oportunidades de renda sem encarecer serviços.
73,Políticas Sociais,P-,36,Direitos trabalhistas de entregadores e motoristas de aplicativo devem ser regulados para garantir renda e proteção social.
74,Políticas Sociais,P+,37,O Estado deve garantir igualdade perante a lei sem criar políticas identitárias que gerem privilégios ou divisões.
75,Políticas Sociais,P-,37,Políticas de igualdade racial e de gênero devem ser fortalecidas para enfrentar discriminações estruturais.
76,Economia,P+,38,"Privatizações e concessões são necessárias para aumentar eficiência, reduzir custos e melhorar serviços."
77,Economia,P-,38,O Estado deve manter empresas estratégicas sob controle público para garantir soberania e preços justos.
78,Economia,P+,39,A reforma tributária deve simplificar impostos e reduzir a carga sobre produção e consumo para destravar investimentos.
79,Economia,P-,39,"A reforma tributária deve tornar o sistema mais progressivo, taxando mais renda e patrimônio no topo."
80,Economia,P+,40,A legislação trabalhista deve ser mais flexível para facilitar contratações e reduzir informalidade.
81,Economia,P-,40,A legislação trabalhista deve proteger o emprego com direitos robustos e negociação coletiva forte.
82,Segurança Pública,P+,41,A polícia precisa de respaldo jurídico e operacional para agir com firmeza sem medo de punições injustas.
83,Segurança Pública,P-,41,O uso da força policial deve ter controle externo e protocolos rígidos para reduzir letalidade e abusos.
84,Segurança Pública,P+,42,A política de drogas deve endurecer penas e fortalecer o combate ao tráfico para reduzir crime e dependência.
85,Segurança Pública,P-,42,A política de drogas deve caminhar para descriminalização do usuário e foco em saúde pública.
86,Segurança Pública,P+,43,O sistema prisional deve priorizar cumprimento efetivo de penas e isolamento de criminosos perigosos.
87,Segurança Pública,P-,43,O sistema prisional deve focar em alternativas penais e ressocialização para reduzir reincidência.
88,Meio Ambiente,P+,44,"A política para terras indígenas deve considerar segurança jurídica e impacto econômico, evitando ampliações sem critérios objetivos."
89,Meio Ambiente,P-,44,A demarcação de terras indígenas deve avançar para proteger povos e florestas contra invasões e garimpo.
90,Meio Ambiente,P+,45,O Brasil deve defender seus interesses e não aceitar metas climáticas que prejudiquem competitividade e soberania.
91,Meio Ambiente,P-,45,O Brasil deve assumir metas climáticas mais ambiciosas e liderar a cooperação internacional por financiamento verde.
92,Instituições Democráticas,P+,46,"A governança deve ser baseada em instituições representativas e critérios técnicos, evitando aparelhamento por conselhos."
93,Instituições Democráticas,P-,46,A participação social em conselhos e conferências deve ser fortalecida para democratizar decisões públicas.
94,Instituições Democráticas,P+,47,"O sistema eleitoral deve focar em reduzir custos e aumentar accountability, sem cotas que distorçam a escolha do eleitor."
95,Instituições Democráticas,P-,47,"O sistema eleitoral deve ampliar mecanismos de inclusão, com incentivo à participação de mulheres e negros nas candidaturas."
96,Instituições Democráticas,P+,48,Direitos humanos devem ser aplicados sem ideologização e com foco na proteção do cidadão e das vítimas.
97,Instituições Democráticas,P-,48,A política de direitos humanos deve orientar o Estado para prevenir violência e proteger minorias e grupos vulneráveis.
98,Corrupção e Justiça,P+,49,O combate à corrupção deve endurecer leis e ampliar instrumentos de investigação para punir poderosos.
99,Corrupção e Justiça,P-,49,O combate à corrupção deve respeitar garantias legais e evitar abusos de autoridade e espetacularização.
100,Corrupção e Justiça,P+,50,"A transparência deve focar em auditorias e resultados, evitando burocracia que paralisa a administração."
101,Corrupção e Justiça,P-,50,A transparência pública deve ser ampliada com controle social e dados abertos sobre contratos e emendas.
102,Corrupção e Justiça,P+,51,"A prisão preventiva deve ser aplicada com mais rigor quando houver risco de fuga, intimidação e continuidade do crime."
103,Corrupção e Justiça,P-,51,A prisão preventiva deve ser usada com parcimônia para não virar punição antecipada e seletiva.
104,Corrupção e Justiça,P+,52,A política criminal deve priorizar crimes violentos e patrimoniais que afetam diretamente o cidadão comum.
105,Corrupção e Justiça,P-,52,A política criminal deve reduzir seletividade penal e enfrentar crimes econômicos e de colarinho branco com prioridade.
106,Educação e Cultura,P+,53,"O acesso deve ser baseado principalmente em mérito e desempenho, com apoio socioeconômico sem recortes identitários."
107,Educação e Cultura,P-,53,Cotas e ações afirmativas devem ser mantidas e aprimoradas para corrigir desigualdades históricas no acesso.
108,Educação e Cultura,P+,54,A escola deve focar em conteúdos essenciais e respeitar a autoridade dos pais em temas morais e comportamentais.
109,Educação e Cultura,P-,54,A escola deve promover educação sexual e direitos humanos para prevenir violência e discriminação.
110,Educação e Cultura,P+,55,"O fomento cultural deve ser mais restrito e baseado em critérios objetivos, evitando subsídios a projetos sem retorno social claro."
111,Educação e Cultura,P-,55,"A cultura deve receber fomento público descentralizado para garantir diversidade e acesso, inclusive nas periferias."
